😀;широко улыбается;лицо|радость|смех|счастье|улыбка
😃;смеется;весело|лицо|радость|рот|смех|улыбка
😄;смеется с закрытыми глазами;глаза|закрытые|лицо|радость|смеется|смех|смеяться|улыбка
😁;светится от счастья;весело|глаза|зубы|лицо|ржать|смех|счастье|улыбка|ухмылка|широкая
😆;смеется с прищуренными глазами;глаза|закрытые|лол|радость|смех|смешно|угораю|улыбка|ха-ха|хохот
😅;нервно смеется;лол|нервный|облегчение|открытый|пот|рот|смех|стресс|улыбка|широкая
🤣;катается со смеху;глаза|катаюсь|плач|пол|ржака|ржач|слезы|умора|ха-ха|хохот
😂;смеется до слез;глаза|лол|плач|ржака|ржач|ржунимагу|слезы|смешно|умора|ха-ха
🙂;слегка улыбается;легкая|лицо|радость|смайлик|улыбка
🙃;вверх тормашками;вверх|ногами|перевернутый|смайлик|тормашками|улыбка
🫠;тает;грустная|жара|жарко|лол|нежность|печальная|плавится|растаять|таю|улыбка
😉;подмигивает;глаз|договорились|ироничная|легкая|окей|улыбка|флирт|хорошо|шутка
😊;довольно улыбается;глаза|довольный|закрытые|краснеть|легкая|радость|румянец|улыбка|щеки
😇;с нимбом;ангел|глаза|добрый|закрытые|легкая|невинная|нимб|улыбка
🥰;улыбающееся лицо с сердечками;люблю|любовь|нежность|обожаю|радость|романтика|румянец|сердечки|улыбка|чувства
😍;влюбленное лицо;без ума|вау|влюбленность|восторг|глаза|люблю|обожаю|сердечки|чувства
🤩;звезды в глазах;вау|глаза|звезда|звездный|звезды|обалдеть|радость|супер|улыбка|широкая
😘;воздушный поцелуй;воздушный|губы|комплимент|любовь|подмигивание|поцелуй|сердечко|скучаю|флирт|чмок
😗;целует;люблю|любовь|нежность|поцелуй|романтика|скучаю|флирт|чмок
☺️;улыбается;довольный|окей|радость|румянец|смайлик|счастье|улыбка|хорошо
😚;целует с закрытыми глазами;глаза|закрытые|поцелуй|румянец|флирт|целовать|чмок
😙;счастливый поцелуй;глаза|лицо|любовь|поцелуй|свидание|улыбка|флирт|чмок
🥲;улыбающееся лицо со слезой;боль|гордость|лицо|облегчение|признательность|радость|слеза|трогательный|улыбка|умиление
😋;вкусно;вкус|еда|лицо|объедение|отлично|смаковать|язык
😛;показывает язык;вот|высунуть|забавно|показывает|смешно|улыбка|ха|шутка|язык
😜;показывает язык и подмигивает;весело|глаз|забавно|подмигнуть|показать|розыгрыш|улыбка|ха-ха|шутка|язык
🤪;сумасшедшее лицо;крейзи|показать|псих|сдвиг|сошел|сумасшедший|ума|фазе|чокнуться|язык
😝;морщится и показывает язык;бе|гадость|жмуриться|омг|отвращение|показать|противно|ужас|фу|язык
🤑;деньги в глазах;баксы|богатый|выиграть|деньги|джекпот|доллары|лотерея|мани|счастливчик|язык
🤗;обнимает;встречи|обнимашки|объятия|пока|привет|радость|руки|румянец|увидимся|улыбка
🤭;прикрывает рот рукой;лишнее|ляпнуть|посмеиваться|проговорился|секрет|смешок|сюрприз|тайна|упс|хи
🫢;прикрывает рот рукой с открытыми глазами;изумление|испуг|недоверие|смущение|страх|удивление|шок
🫣;подсматривает;глаз|интересно|испуг|рука|румянец|стесняюсь|страх|тайно|украдкой
🤫;тс-с-с;говори|закрой|никому|секрет|тайна|тихо|тсс|узнает|услышать|шепот
🤔;думает;думаю|знаю|интересно|мозгами|озадачен|пораскинуть|размышлять|сложно|трудно|хм
🫡;воинское приветствие;да|есть|окей|отдать|приветствие|приказ|сделаю|точно|хорошо|честь
🤐;рот на замке;говори|замке|могила|молния|никому|рот|секрет|скажу|тайна
🤨;не верит;быть|верю|может|не|недоверие|подозрение|правда|скептик|сомневаюсь|хм
😐;все равно;безразличие|незаинтересованный|равнодушие|скептик|скучно|усталость|эмоций
😑;без эмоций;безразличие|надоело|незаинтересованный|нет|ничего|совсем|спать|усталость|эмоций
😶;лицо без рта;молчание|немой|нет|рыба|секрет|слов|тайна|тихо|тишина|тсс
🫥;лицо пунктиром;грусть|депрессия|интроверт|исчезать|невидимка|печаль|пунктир|угнетение|усталость
😶‍🌫️;лицо в облаках;витающий в облаках|голова в облаках|лицо в тумане|рассеянный
😏;ухмыляется;задумал|лицо|подмигнуть|подозрение|попался|пошутил|ухмылка|хитрый|шутка
😒;скучает;гадость|грустно|надоело|недовольный|противно|скука|скучно|тоска|фу
🙄;закатывает глаза;блин|глаза|закатить|закончится|когда|надоело|омг|скука|скучно|тоска
😬;гримаса;злой|злость|злюсь|зубы|кривляться|показать|рожа
😮‍💨;выдыхает;вздох|выдох|облегчение|одышка|свист|шепот
🤥;лжец;буратино|врать|врешь|лицо|ложь|обман|обманывать|пиноккио
🫨;трясущееся лицо;бум|вау|головокружение|обморок|омг|паника|трясется|удивление|ужас|шок
🙂‍↔️;отрицательно качает головой;несогласие|нет|отрицание
🙂‍↕️;положительно качает головой;да|кивок|подтверждение|согласие
😌;испытывает облегчение;богу|довольный|облегчение|обошлось|пронесло|слава|улыбка|хорошо
😔;размышляет;грустный|достало|жаль|задумчивый|мысли|плохо|разочарован|скучно|устал
😪;хочет спать;ночи|плакать|плач|пора|сон|спать|сплю|спокойной|устал
🤤;пускает слюни;лицо|слюни
😴;спит;боковую|ночи|пора|сон|спать|спокойной|уснул|устал|храп
🫩;лицо с мешками под глазами;без|глазами|истощение|мешки|под|сил|скучно|сон|спать|устал
😷;в медицинской маске;болеть|вирус|врач|заражение|карантин|маска|медик|микроб|простуда|санитар
🤒;с градусником во рту;болеть|больной|вирус|градусник|грипп|жар|плохо|простуда|температура
🤕;с перевязанной головой;бинт|болеть|больной|гипс|перевязка|повязка|пострадал|ударился
🤢;тошнит;блевать|болезнь|выворачивать|вырвет|зеленый|морская|наизнанку|отравиться|плохо
🤮;рвота;блевать|болезнь|вырвало|гадость|морская|отравиться|плохо|тошнит|фу
🤧;чихает;апчхи|лицо|насморк|пчхи
🥵;жар;болеть|лихорадка|плохо|пот|солнечный|температура|удар|умираю|язык
🥶;мерзнет;болею|дубак|зубы|мерзнуть|мороз|озноб|синий|снег|стучат|холодно
🥴;чувствует головокружение;глазах|голова|кружится|мутит|окосел|плохо|плывет|пьяный
😵;головокружение;болею|глаза|голова|крестики|кружится|мертвый|плохо|смерть|умереть|устал
😵‍💫;ошеломление;гипноз|глаза|голова|замешательство|кружится|кучу|омг|сложно|тупик|шок
🤯;взрыв мозга;быть|взрыв|голова|может|мозга|не|омг|шок
🤠;в ковбойской шляпе;веселый|вестерн|ковбой|радость|техас|улыбка|шапка|шляпа
🥳;на вечеринке;вечеринка|день|днюха|колпак|конфетти|отмечать|поздравляю|праздник|рождения
🥸;маскировка;внешность|инкогнито|нос|очки|профессор|усы|ученый|шпион
😎;лицо в темных очках;защита|клево|круто|лицо|очки|свет|солнечные|солнце|солнцезащитные|улыбка
🤓;очкарик;ботан|заучка|интеллигент|радость|улыбка|умник|эврика
