😀;کھل کے ہنستا چہرہ;چہرہ|کھلا|منہ|ہنسی
😃;بڑی آنکھوں والا کھلے منہ والا مسکراتا چہرہ;آہا!|ارے واہ!|تبسم|چہرہ|خوش حال|خوشی|دانت|دندان|دہانا|کھلا ہوا چہرا|کھلکھلا کر ہنسنا|کھلے منہ والا مسکراتا چہرہ|مسکراہٹ|منہ|ہنسی
😄;کھلے منہ اور مسکراتی آنکھوں والا مسکراتا چہرہ;آنکھ|تبسم|تمسخر|چہرہ|خوشی|قہقہا|کھلکھلا کر ہنسنا|متبسم چہرہ|مزہ|مسکراہٹ|منہ|ہنستا ہوا چہرہ|ہنسی
😁;مسکراتی آنکھیں لیے ہنستا چہرہ;آنکھ|تبسم|چہرہ|کھل کر ہنسنا|کھلا|مسکراہٹ|منہ|ہنسنا|ہنسی
😆;کھلے منہ اور سختی سے بند آنکھوں والا مسکراتا چہرہ;چہرہ|خوشی|دانت|زور سے ہنسنا|قہقہہ|کھلا|مسکراہٹ|مطمئن|منہ|ہا ہا|ہنسنا|ہنسی|ہی ہی|ہے ہے
😅;کھلے منہ اور ٹھنڈے پسینے والا مسکراتا چہرہ;اشتعال|اکسانا|پر تبسم چہرہ|پسینہ|تبسم|ٹھنڈ|چہرہ|مسکراہٹ|نروس|ہنسی|ولولہ انگیز
🤣;ہنستے ہنستے لوٹ پوٹ ہونا;آنسو|چہرہ|خوش|خوشی|قہقہہ|لوٹ پوٹ|مست|ہا ہا ہا!|ہنسنا|ہنسی|ہنسی کے آنسو|ہے ہے
😂;خوشی کے آنسوؤں والا چہرہ;آنسو|چہرہ|خوشی|قہقہہ|لول|مزاحیہ|مزاقیہ|مست|ہا ہا ہا|ہنسی|ہے ہے
🙂;مدھم مسکراہٹ والا چہرہ;تبسم|چہرہ|رخ|متبسم چہرہ|مسکان|مسکراہٹ|مکھ
🙃;الٹا چہرہ;الٹآ|تمسخر|چہرہ|مزاق|ہنسی|ہی ہی!|ہے ہے !
🫠;پگھلتا چہرہ;پگھلنا|تحلیل ہونا|شرمندہ|طنزیہ|غائب ہونا|گرمی|گھلنا|مائع|ہاہاہا
😉;آنکھ مارتا چہرہ;آنکھ جھپکنا|چہرہ|دل لگی|مزق
😊;مسکراتی آنکھوں والا مسکراتا چہرہ;آنکھ|اسمائلی|تبسم|جھینپنا|چہرہ|چہرے کی سرخی|حیا|خوشی|شرم|ندامت
😇;ہالہ لیے مسکراتا چہرہ;افسانوی|تبسم|تسکین|چہرہ|خوشی|سکون|فرشتہ|مسکراہٹ|معصوم
🥰;دلوں کے ساتھ مسکراتا چہرہ;پسند کرنا|پیار میں|پیارا، دل آنا، محبت میں، مسکراتا چہرہ اور تین دل، پیار، مجھے تم سے پیار ہے، دل، مسکراہٹ، رومانس، مسکراتے چہرے، چہرہ|دل|محبت
😍;دل کی شکل کی آنکھوں والا مسکراتا چہرہ;آنکھ|پیار|پیار بھری نظریں|تبسم|چہرہ|دل|دل لگی|شفقت|عشق سے لبریز آنکھیں|محبت|مسکراہٹ|نگاہیں|ہنسی
🤩;ستارہ زدہ;آنکھیں|آہا|ارے واہ|پر جوش|تارہ|چہرہ|دلدادہ|مسکراتا|ہنسی|واہ
😘;بوسہ اچھالتا چہرہ;بوسہ|پیار|چہرہ|دل|دل لگی|رات|رومان|شب|صبح|عشق|فجر|گھڑکن|محبت
😗;بوسہ لیتا چہرہ;بوسہ|پیار|چہرہ|دل لگی|عشق|لگاوٹ|محبت
☺️;مسکراتا چہرہ;پر سکون|تبسم|چہرہ|خوش حال|خوشی|سرخ|شرما کر ہنسنا|کھکھلانا|مسکان|مسکراہٹ|ہنسی
😚;بند آنکھوں کے ساتھ بوسہ لیتا چہرہ;آنکھ|بند|بوسہ|چہرہ|حیا|دل لگی|دلچسپی|شرم|عشق|محبت
😙;مسکراتی آنکھوں کے ساتھ بوسہ لیتا چہرہ;آنکھ|بوسہ|پیار|چہرہ|چومنا|حبّ|دل لگی|شبِ وعدہ|عشق|محبت|مسکراہٹ
🥲;آنسو کے ساتھ مسکراتا چہرہ;آنسو|اسمائیلی|افسوس|جذباتی|خوش|دکھ|شکرگزار|فاخر|مسکراتا ہوا|مسکراہٹ|مطمئیں|ممنون|ممنوں
😋;مزیدار کھانے کا ذائقہ دینے والا چہرہ;تبسم|چٹورپن|چہرہ|خرد و نوش|خوراک|خوشی|کھانا|کھانے کے مزے لینا|مزیدار|مسکراہٹ|منہ میں پانی آنا|ہنسی
😛;زبان نکالے چہرہ;بہت اچھا!|تبسم|تمسخر|چہرہ|زبان|ہنسی
😜;زبان نکالے اور آنکھ مارتا چہرہ;آنکھ|تبسم|چہر|چہرہ|زبان|کھلی|مزاق|ہنسی
🤪;پاگل پن والا چہرہ;آنکھ|بڑی|پاگل|پاگل پن|پگلائی شکل|پگلائی صورت|پگلایا چہرہ|چھوٹی|سر پھرا|غیر معقول
