😀;gülən üz;gülmək|üz
😃;açıq ağızla gülən üz;açıq|ağız|ağzıaçıq gülən üz|təbəssüm|üz
😄;açıq ağız və gülən gözlərlə gülən üz;açıq|ağız|göz|gülüş|təbəssüm|üz|xoşbəxt
😁;gülən gözlərlə gülən üz;dişini ağardaraq gülən üz|göz|gülmək|təbəssüm|üz
😆;açıq ağız və bərk yumulmuş gözlərlə gülən üz;açıq|ağız|gülümsəmə|gülüş|hahahah|məmnun|təbəssüm|ürəkdən gülən üz|üz
😅;açıq ağız və soyuq tərlə gülən üz;açıq|gülmək|soyuq|təbəssüm|tər|üz
🤣;gülməkdən nəfəsi kəsilmək;diyirlənən|gülüş|hahahah|şən|üz|yer
😂;sevinc göz yaşları olan üz;ahahahah|göz yaşı|gülməkdən gözü yaşaran üz|gülüş|hahahah|sevinc|üz
🙂;yüngülcə gülümsəyən üz;incə şəkildə gülümsəyən üz|nəzakətlə gülümsəyən üz|təbəssüm|üz
🙃;başı-aşağı üz;baş-aşağı|üz
🫠;əriyən üz;çaşqın|əridir|ərimək|əriyən|haha|həll|istehza|istehzalı|isti|istilik|lol|maye|yox olmaq
😉;göz vuran üz;cəzbedici|göz vurmaq|sataşmaq|üz
😊;gülən gözlərlə gülümsəyən üz;göz|təbəssüm|utancaq üz|utanma|utanmaq|üz
😇;başında halə gülmsəyən üz;fantastika|günahsız üz ifadəsi|halə|mələk|mələk emojisi|məsum|sakit üz
🥰;3 ürəkli təbəssümlü üz;aşiqlik|sevgi|səni sevirəm|vurulmaq
😍;ürək formalı gözləri olan gülən üz;göz|sevgi|təbəssüm|ürək|üz
🤩;ulduza heyranlıq;gözlər|gözündən ulduz çıxan üz|gülən|sevincli üz|ulduz|üz
😘;öpüş göndərən üz;öpüş|sevgi işarəsi|ürək|üz
😗;öpən üz;öpüş|üz
☺️;gülümsəyən üz;rahat|sakit|təbəssüm|üz
😚;bağlı gözlərlə öpən üz;bağlı|göz|gözləri bağlı öpən üz|öpüş|utancaq üz|üz
😙;gülən gözlərlə öpən üz;göz|öpüş|təbəssüm|üz
🥲;göz yaşları ilə gülümsəyən üz;ağrı|göz yaşı|gülümsəyir|həyəcanlı|lovğa|məmnun|qürurlu|sevincli|xoşbəxt|yüngül
😋;dadlı yeməkdən həzz alan üz;dadlı|həzz almaq|təbəssüm|um|üz|yum
😛;dilini çıxarmış üz;dil|dilini çıxartmış üz|möhtəşəm|şirin|üz
😜;dilini çıxarmış və göz vuran üz;dil|göz|göz vurmaq|üz|zarafat
🤪;dəcəl üz;böyük|dəcəl üz ifadəsi|göz|kiçik
😝;dilini çıxarmış və gözlərini möhkəm bağlamış üz;dad|dil|göz|gözlərini bağlamış və dilini çıxarmış emoji|qorxulu|üz
🤑;ağzı pul olan üz;ağız|pul|pulu çox sevən üz|üz
🤗;qucaqlayan üz;qucaqlama|qucaqlaşmaq|üz
🤭;ağzını əli ilə örtmüş üz;gözlənilməz sürpriz|təəccüblü üz|vay
🫢;açıq gözlü üz və ağzı tutmuş əl;heyrət|heyrətlənmək|ilahi|inamsızlıq|nəfəsini tutmaq|qorxu|qorxuram|sakit|sürpriz|xəcalətli
🫣;baxan gözlə üz;baxış|biip|əsir|gizlənmək|gizli|oğrun baxış|oğrun baxmaq|qorxmaq|utancaq|utandırmaq
🤫;tərpənən sifət;"sakit ol" işarəsi|sakit|susmaq|tərpənən
🤔;düşünən üz;düşünür|fikrə getmiş emoji|üz
🫡;salamlayan üz;bəli|bəli cənab|bəli xanım|günəşli|hörmət|qoşunlar|salam|salamlama|tamam|uğurlar
🤐;ağzı bağlanmış üz;ağız|sakit qalmaq işarəsi|səs çıxarmamaq işarəsi|üz|zəncirbənd
🤨;qaşları qalxmış üz;inamsız|skeptik|təəccüblənmiş üz
😐;neytral üz;neytral|neytral üz ifadəsi|sıxılan üz|soyuqqanlı|üz
😑;ifadəsiz üz;donuq|durğun|durğun üz ifadəsi|ifadəsiz|üz|vecsiz üz ifadəsi
😶;ağızsız üz;ağız|ağzı olmayan emoji|danışmayan|sakit|səssiz|susmuş üz|üz
🫥;nöqtəli xətli üz;darıxmış|depressiya|gizlət|gizli|görünməz|introvert|kefsiz|sıxılmış|yox olmaq
😶‍🌫️;buludlu üz;bulud|buludlu baş
😏;özündən razı gülümsəyən üz;ağzını büzən üz|özündən razı gülümsəmək|özündənrazı üz|şübhəli üz|üz
