😀;išsišiepęs veidas;išsišiepti|linksmas|veidas
😃;besišypsantis išsižiojęs veidas;burna|labai laimingas|praverta|šypsena|valio|veidas
😄;besišypsantis išsižiojęs veidas besišypsančiomis akimis;akys|burna|laimingas|praverta|šypsena|veidas
😁;išsišiepęs veidas su besišypsančiomis akimis;akys|išsišiepti|šypsena|veidas
😆;besišypsantis išsižiojęs veidas su smarkiai užmerktomis akimis;burna|cha cha|juokas|pasitenkinęs|patenkintas|praverta|šypsena|šypsenėlės|veidas
😅;besišypsantis išsižiojęs veidas, išpiltas šalto prakaito;besišypsantis išsižiojęs veidas|išpiltas šalto prakaito|prakaitas|praverta|šaltas|šypsena|veidas
🤣;raitausi iš juoko;juokas|lol|raitytis|veidas
😂;veidas su džiaugsmo ašaromis;ašara|džiaugsmas|džiaugsmo ašara|juokas|šypsenėlės|veidas
🙂;šiek tiek besišypsantis veidas;šypsena|šypsenėlės|veidas
🙃;apverstas veidas;aukštyn kojom|šypsena|veidas
🫠;tirpstantis veidas;cha cha|ištirpti|karšta|karštis|labai juokinga|lydytis|nykti|sarkazmas|skystis|sutrikęs
😉;mirksintis veidas;flirtas|mirktelėjimas|veidas
😊;besišypsantis veidas su besišypsančiomis akimis;akys|nurausti|patenkintas|šypsena|veidas
😇;besišypsantis veidas su aureole;angelas|aureolė|fantazija|nekaltas|veidas
🥰;besišypsantis veidas su trimis širdelėmis;dievinti|garbinimo objektas|įsimylėjęs|veidas
😍;besišypsantis veidas su širdelės formos akimis;akys|meilė|širdelės|šypsena|veidas
🤩;žvaigždžių liga;akys|šypsenėlės|šypsotis|veidas|wow|žvaigždė
😘;bučinį siunčiantis veidas;bučinys|širdelė|veidas
😗;bučiuojantis veidas;bučinys|šypsenėlės|veidas
☺️;besišypsantis veidas;atsipalaidavęs|šypsena|šypsenėlės|veidas
😚;bučiuojantis su užmerktomis akimis;akys|bučinys|pasimatymas|užmerktos|veidas
😙;bučiuojantis su besišypsančiomis akimis;akys|bučinys|šypsena|šypsenėlės|veidas
🥲;besišypsantis veidas su ašara;ašara|besišypsantis|dėkingas|palengvėjimas|pasididžiavimas|šypsenėlė
😋;skaniu maistu besimėgaujantis veidas;besimėgaujantis|niam|skanu|šypsena|veidas
😛;veidas su iškištu liežuviu;liežuvis|malonus|veidas
😜;veidas su iškištu liežuviu ir viena primerkta akimi;akis|juokingas|liežuvis|mirksnis|pokštas|veidas
🤪;pamišęs veidas;akis|akys|didelis|mažas|pamišęs|veidas
😝;veidas su iškištu liežuviu ir stipriai užmerktomis akimis;akys|bjaurus|liežuvis|OMG|skonis|šlykštus|veidas
🤑;veidas su pinigu vietoje liežuvio;burna|pinigai|turtingas|veidas
🤗;apkabinantis veidas;apkabinimas|apkabinti|šypsenėlės|veidas
🤭;veidas su ranka ant burnos;kikenimas|paslaptis|ups|veidas
🫢;veidas atmerktomis akimis ir ranka uždengta burna;aiktelėjimas|gėda|išgąstis|netikėjimas|netikėtumas|nuostaba|o Dieve|pagarbi baimė|staigmena|tyla
🫣;veidas su stebinčia akimi;išsigandęs|nedrąsus|pakerėtas|slėptis|stebeilytis|stebėti|susidrovėti|žvilgsnis vogčiomis|žvilgtelėjimas
🤫;tildantis veidas;ššš|tylus|veidas
🤔;mąstantis veidas;mąstymas|susimąstęs|šypsenėlės|veidas
🫡;pagarbą atiduodantis veidas;gerai|kariai|pagarba|pagarbos atidavimas|saulėta|sėkmės|taip
🤐;veidas su užtrauktuku vietoje burnos;burna|paslaptis|patylėti|užtrauktukas|veidas
🤨;veidas su pakeltais antakiais;nepasitikintis|skeptiškas|veidas
😐;neutralus veidas;blogai|neišraiškingas|neutralus|pavydus|veidas
😑;veidas be jokios išraiškos;be išraiškos|neišraiškingas|pavydus|veidas
😶;veidas be burnos;burna|negaliu patikėti|tylus|veidas
🫥;punktyrinis veidas;abejingumas|intravertas|išnykti|nematomas|nesvarbu|prislėgtas|slėptis
😶‍🌫️;veidas debesyse;galva debesyse|veidas rūke
😏;iš pasitenkinimo besišypsantis veidas;pasitenkinimas|veidas
😒;nelinksmas veidas;abejingas|nelaimingas|nelinksmas|nuobodžiauti|veidas
🙄;veidas, vartantis akis;akys|vartantis akis|vartyti|vartyti akis|veidas
😬;besivaipantis veidas;grimasa|šypsenėlės|veidas
😮‍💨;veidas su garu;dejuoti|gaudyti|iškvėpti|išpūsti|reljefas|šnabždesys|švilpukas|šypsenėlė
🤥;meluojantis veidas;melas|Pinokis|veidas
🫨;besikratantis veidukas;beprotiška|oho|palauk|panika|purtymas|šokas|staigmena|veidas|vibruoti|žemės drebėjimas
🙂‍↔️;purtantis galvą;sakantis ne
🙂‍↕️;linksintis galva;sakantis taip
😌;veidas su palengvėjimu;nurimęs|palengvėjimas|ramus|veidas
😔;susimąstęs veidas;prislėgtas|susimąstęs|veidas
😪;mieguistas veidas;liūdnas|miegas|pavargęs|veidas
🤤;besiseilėjantis veidas;seilės|veidas
😴;miegantis veidas;miegas|šypsenėlė|veidas|zzz
🫩;veidas su maišeliais po akimis;išsekęs|mieguistas|pavargęs
😷;veidas su medicinine kauke;gydytojas|kaukė|medicina|šaltis|sergantis|veidas
🤒;veidas su termometru;ligonis|serga|termometras|veidas
🤕;veidas su galvos tvarsčiu;skausmas|susižeidęs|sužeidimas|tvarstis|veidas
🤢;besiruošiantis vemti veidas;šlykštu|veidas|vemti
🤮;vemiantis veidas;liga|veidas|vemti
🤧;čiaudantis veidas;čiaudulys|veidas
🥵;įkaitęs veidas;karščiuojantis|karštas|prakaitavimas|raudonveidis|šilumos smūgis|veidas
🥶;sušalęs veidas;mėlynveidis|nušalimas|šaltas|stingdantis|varvekliai|veidas
🥴;apkvaišęs veidas;apsvaigęs|banguojanti burna|įkaušęs|nelygios akys|veidas
😵;apsvaigęs veidas;apsvaigęs|sergantis|veidas
😵‍💫;veidas su spiralinėmis akimis;apsvaigęs|bėda|spiralė|sutrikęs|svaigulys|šypsenėlė|užhipnotizuotas|va
🤯;sprogstanti galva;šokiruotas|šypsenėlės
🤠;kaubojaus veidas su skrybėle;kaubojus|skrybėlė|veidas
🥳;švenčiantis veidas;skrybėlė|šventė|šventimas|švilpynė|šypsenėlė|veidas
🥸;paslėptas veidas;akiniai|inkognito|nosis|pasislėpęs|šnipas|ūsai|veidas|žmogus
😎;besišypsantis veidas su akiniais nuo saulės;akiniai nuo saulės|kietas|saulė|šaunus|šviesus|veidas
🤓;moksliuko veidas;akiniai|ekspertas|juokingas|moksliukas|pirmūnas|protingas|talentingas|veidas
🧐;veidas su monokliu;prabangus|turtingas|tvankus|veidas
😕;sutrikęs veidas;apgailestaujantis|hm|liūdnas|neužtikrintas|painus|pasimetęs|suraukęs kaktą|sutrikęs|veidas
🫤;veidas įstriža burna;abejojantis|abejojimas|nesvarbu|nusivylęs|nusivylimas|skeptiškas|sumišęs|sumišimas|susierzinęs
😟;susirūpinęs veidas;nervingas|susirūpinęs|veidas
🙁;šiek tiek paniuręs veidas;paniuręs|veidas
☹️;paniuręs veidas;liūdnas|paniuręs|veidas
😮;išsižiojęs veidas;atverta|burna|išsižiojęs|netikiu|pamiršau|veidas
😯;nuščiuvęs veidas;nuščiuvęs|nustebęs|priblokštas|veidas
😲;apstulbęs veidas;apstulbęs|priblokštas|veidas|visiškai
😳;nuraudęs veidas;karšta|nuraudęs|nustebęs|raudonis|veidas
