😀;cara sonriendo;cara|divertido|feliz|sonrisa
😃;cara sonriendo con ojos grandes;cara|divertido|risa|sonriendo
😄;cara sonriendo con ojos sonrientes;abierta|cara|ojo|sonrisa
😁;cara radiante con ojos sonrientes;cara|ojo|risa|sonrisa
😆;cara sonriendo con los ojos cerrados;abierta|boca|cara|risa
😅;cara sonriendo con sudor frío;cara|frío|risa|sudor
🤣;cara revolviéndose de la risa;cara|carcajada|ojos cerrados|risa
😂;cara llorando de risa;cara|felicidad|lágrima|risa
🙂;cara sonriendo ligeramente;cara|sonrisa
🙃;cara al revés;cara|revés
🫠;cara derritiéndose;calor|derretido|derretirse|desaparecer|fundirse|líquido
😉;cara guiñando el ojo;cara|guiño
😊;cara feliz con ojos sonrientes;cara|ojo|rubor|sonrisa
😇;cara sonriendo con aureola;ángel|cara|halo|sonrisa
🥰;cara sonriendo con corazones;adorar|amor|corazones|enamorada|enamorado
😍;cara sonriendo con ojos de corazón;amor|cara|corazón|sonrisa
🤩;cara sonriendo con estrellas;cara|estrellas|sonrisa
😘;cara lanzando un beso;beso|cara
😗;cara besando;beso|cara
☺️;cara sonriente;cara|contorno|relajado|sonrisa
😚;cara besando con los ojos cerrados;beso|cara|cerrado|ojo
😙;cara besando con ojos sonrientes;beso|cara|ojo|sonrisa
🥲;cara sonriente con lágrima;agradecido|aliviado|emocionado|lágrima|orgulloso|sonrisa
😋;cara saboreando comida;cara|delicioso|hambre|rico
😛;cara sacando la lengua;cara|lengua
😜;cara sacando la lengua y guiñando un ojo;cara|guiño|lengua|ojo
🤪;cara de loco;grande|ojo|pequeño
😝;cara con ojos cerrados y lengua fuera;cara|lengua|ojo|sabor
🤑;cara con lengua de dinero;boca|cara|dinero
🤗;cara con manos abrazando;abrazo|cara|sonrisa
🤭;cara con mano sobre la boca;ostras|uy|vaya
🫢;cara con ojos abiertos y boca tapada;alucinar|asombro|increíble|sorpresa|vergüenza
🫣;cara tapada con ojo espiando;espiar|fascinado|mirar|vistazo
🤫;cara pidiendo silencio;callado|silencio
🤔;cara pensativa;cara|duda|pensando
🫡;cara saludando;ejército|orden|saludo|sí|sol|vale
🤐;cara con la boca cerrada con cremallera;boca|cara|cremallera
🤨;cara con ceja alzada;desconfiado|escéptico
😐;cara neutral;cara|inexpresivo|neutral
😑;cara sin expresión;cara|inexpresión|inexpresiva|inexpresivo
😶;cara sin boca;boca|callado|cara|silencio
🫥;cara con línea de puntos;depresivo|deprimido|desaparecer|esconderse|introvertido|invisible
😶‍🌫️;cara entre las nubes;ausente|cabeza en las nubes|cara en la niebla|en las nubes
😏;cara sonriendo con superioridad;cara|listillo|superioridad
😒;cara de desaprobación;cara|insatisfacción|rechazo
🙄;cara con ojos en blanco;cara|frustración|ojos|vueltos
😬;cara haciendo una mueca;cara|mueca
😮‍💨;cara exhalando;alivio|bocanada|exhalar|jadear|resoplido|silbar
🤥;cara de mentiroso;cara|mentiroso|nariz|pinocho
🫨;cara temblorosa;shock|temblar|terremoto|vibrar
🙂‍↔️;cabeza negando;cabeza moviéndose horizontalmente|negar|no
🙂‍↕️;cabeza asintiendo;asentir|cabeza moviéndose verticalmente|sí
😌;cara de alivio;aliviado|cara
😔;cara desanimada;alicaído|cara|desanimado|pensativo
😪;cara de sueño;cara|dormir|sueño
🤤;cara babeando;baba|babeando|cara
😴;cara durmiendo;cara|dormido|sueño|zzz
🫩;cara con ojeras;agotado|agotamiento|cansado|cansancio|cara|extenuación|extenuado|ojeras|ojos|sueño
😷;cara con mascarilla médica;cara|enfermo|malo|máscara
🤒;cara con termómetro;cara|enfermo|malo|termómetro
🤕;cara con la cabeza vendada;cara|dolor|herida|venda
🤢;cara de náuseas;cara|náuseas|vomitar
🤮;cara vomitando;enfermo|malo|vomitar
🤧;cara estornudando;cara|estornudar|estornudo|pañuelo
🥵;cara con calor;calor|cara roja|fiebre|golpe de calor|sudor
🥶;cara con frío;cara congelada|congelado|frío|helado
🥴;cara de grogui;atontado|entonado|grogui|intoxicado|mareado
😵;cara mareada;cara|mareo
😵‍💫;cara con ojos en espiral;espiral|hipnotizado|indispuesto|mareado|mareo|problema
🤯;cabeza explotando;cabeza|explosión
🤠;cara con sombrero de vaquero;cara|sombrero|vaquera|vaquero
🥳;cara de fiesta;capirote|celebración|fiesta|gorro|matasuegras
🥸;cara disfrazada;careta|disfraz|disimulo|gafas|incógnito|nariz
😎;cara sonriendo con gafas de sol;cara|gafas|guay|sol
🤓;cara de empollón;cara|empollón|friki|friqui
🧐;cara con monóculo;aristocrático|estirado
😕;cara de confusión;cara|confuso
🫤;cara con boca diagonal;decepción|decepcionado|escéptico|inseguro|jo|vaya
😟;cara preocupada;cara|preocupación|preocupado
🙁;cara con el ceño ligeramente fruncido;cara|ceño|fruncido
☹️;cara con el ceño fruncido;cara|ceño|fruncido
😮;cara con la boca abierta;boca|cara
😯;cara estupefacta;alucinado|cara|estupefacto|sorprendido
😲;cara asombrada;alucinado|asombrado|cara|pasmado
😳;cara sonrojada;cara|colorado|sonrojado
🫪;cara deformada;ansiedad|conmocionado|hinchado|pánico|sorprendido|vulnerable
🥺;cara suplicante;implorar|ojos adorables|piedad|por favor
🥹;cara aguantándose las lágrimas;emoción|emocionado|llorar|orgulloso|resistir|triste
😦;cara con el ceño fruncido y la boca abierta;boca abierta|cara|ceño fruncido con boca abierta
😧;cara angustiada;angustia|angustiado|cara
😨;cara asustada;asustado|cara|miedo|miedoso
😰;cara con ansiedad y sudor;ansiedad|cara|frío|sudor
😥;cara triste pero aliviada;aliviado|cara|decepcionado|menos mal
😢;cara llorando;cara|lágrima|llorar|triste
😭;cara llorando fuerte;cara|lágrima|llorar|triste
😱;cara gritando de miedo;asustado|cara|miedo|pánico
😖;cara de frustración;cara|frustrado
😣;cara desesperada;cara|desesperación|frustración
😞;cara decepcionada;cara|decepción|decepcionado
😓;cara con sudor frío;cara|frío|sudor
😩;cara agotada;agotado|cansado|cara
😫;cara cansada;cansado|cara
🥱;cara de bostezo;aburrido|bostezo|cansado|dormido|sueño
😤;cara resoplando;cabreo|cara|enfado
😡;cara cabreada;cabreo|cara|enfadado|furia
😠;cara enfadada;cara|enfadado|histérico
🤬;cara con símbolos en la boca;maldecir|palabrota|símbolo
😈;cara sonriendo con cuernos;cara|cuernos|demonio|sonrisa
👿;cara enfadada con cuernos;cara|cuernos|demonio|diablo
💀;calavera;cara|cuento|monstruo|muerte
☠️;calavera y huesos cruzados;calavera|cara|huesos|muerte
💩;caca con ojos;caca|cómic|mierda|mojón
🤡;cara de payaso;cara|payaso
👹;demonio japonés oni;cara|cuento|cuernos|sonrisa
👺;demonio japonés tengu;cara|cuento|fantasía|monstruo|tengu
👻;fantasma;cara|criatura|cuento|monstruo
👽;alienígena;alien|cara|criatura|extraterrestre|ovni
👾;monstruo alienígena;alien|cara|criatura|extraterrestre|ovni
🤖;robot;cara|monstruo
😺;gato sonriendo;cara|feliz|gato alegre|gato feliz|sonrisa
😸;gato sonriendo con ojos sonrientes;cara|gato|ojos|sonriente|sonrisa
😹;gato llorando de risa;cara|gato|lágrima|risa
😻;gato sonriendo con ojos de corazón;cara|corazón|enamorado|gato
😼;gato haciendo una mueca;cara|gato|irónico|sonrisa
😽;gato besando;beso|cara|cariñoso|gato
🙀;gato asustado;cara|gato|pánico|preocupación|sorpresa
😿;gato llorando;cara|gato|lágrima|pena|triste
😾;gato enfadado;cara|enfadado|gato
🙈;mono con los ojos tapados;cara|mal|mono|prohibido
🙉;mono con los oídos tapados;cara|mal|mono|prohibido
🙊;mono con la boca tapada;cara|mal|mono|prohibido
💌;carta de amor;amor|carta|corazón|correo
💘;corazón con flecha;amor|corazón|emoción|flecha
💝;corazón con lazo;corazón|emoción|lazo|san valentín
💖;corazón brillante;amor|brillante|emoción
💗;corazón creciente;corazón|creciente|emocionado|latido|nervioso
💓;corazón latiendo;amor|corazón|emoción|latido
💞;corazones giratorios;corazón|giratorio
💕;dos corazones;amantes|amor|corazón
💟;adorno de corazón;corazón
❣️;exclamación de corazón;corazón|exclamación|puntuación
💔;corazón roto;corazón|emoción|partido|roto
❤️‍🔥;corazón en llamas;amor|corazón|fuego|llamas|lujuria|pasión
❤️‍🩹;corazón vendado;bien|curarse|mejor|mejorar|recuperación|salud
❤️;corazón rojo;corazón|emoción|rojo
🩷;corazón rosa;amor|bonito|corazón|gustar|rosa
🧡;corazón naranja;corazón|emoción|naranja
💛;corazón amarillo;amarillo|corazón|emoción
💚;corazón verde;corazón|emoción|verde
💙;corazón azul;azul|corazón|emoción
🩵;corazón azul claro;azul|celeste|cián|claro|corazón
💜;corazón morado;corazón|emoción|morado
🤎;corazón marrón;corazón|emoción|marrón
🖤;corazón negro;corazón|negro
🩶;corazón gris;corazón|gris|pizarra|plata
🤍;corazón blanco;blanco|corazón|emoción
💋;marca de beso;beso|labios|romance
💯;cien puntos;100|pleno|puntos
💢;símbolo de enfado;cómic|enfadado|enfado
🫯;nube de pelea;alboroto|altercado|bronca|desacuerdo|discusión|lucha|pelea
💥;colisión;cómic
💫;símbolo de mareo;cómic|emoción|estrella|mareo
💦;gotas de sudor;cómic|emoción|sudor
💨;salir corriendo;carrera|cómic|correr|humo
🕳️;agujero;orificio
💬;bocadillo de diálogo;bocadillo|cómic|conversación|diálogo
👁️‍🗨️;ojo en bocadillo de texto;bocadillo de texto|ojo|testigo
🗨️;bocadillo de diálogo por la izquierda;bocadillo|burbuja|conversación|diálogo
🗯️;bocadillo de enfado por la derecha;bocadillo|cabreo|enfado|rabia
💭;bocadillo de pensamiento;bocadillo|burbuja|cómic|pensamiento
💤;símbolo de sueño;cómic|dormir|sueño|zzz
👋;mano saludando;agitar|mano|saludar|saludo
🤚;dorso de la mano;dorso|levantado|mano
🖐️;mano abierta;abierta|dedo|mano
✋;mano levantada;choca esos cinco|levantada|mano
🖖;saludo vulcano;mano|saludo|spock|vulcano
🫱;mano hacia la derecha;a la derecha|derecha|mano
🫲;mano hacia la izquierda;a la izquierda|izquierda|mano
🫳;mano con la palma hacia abajo;bajar|descartar|fuera|no|quita|rechazar
🫴;mano con la palma hacia arriba;acércate|dame|ofrecer|trae|ven
🫷;mano empujando hacia la izquierda;a la izquierda|choca esos cinco|detener|empujar|rechazar|stop
🫸;mano empujando hacia la derecha;a la derecha|choca esos cinco|detener|empujar|rechazar|stop
👌;señal de aprobación con la mano;aprobación|mano|ok
🤌;dedos juntos apuntando hacia arriba;dedos|gesto|italia|italiano|mano|sarcasmo
🤏;mano pellizcando;pellizco|poco|poquito
✌️;mano con señal de victoria;mano|señal de victoria|victoria
🤞;dedos cruzados;cruzar|dedos|mano|suerte
🫰;mano con dedo índice y pulgar cruzados;amor|caro|chasquido|corazón|dinero
🤟;gesto de te quiero;mano|quiero
🤘;mano haciendo el signo de cuernos;cuernos|dedo|mano|rock
🤙;mano haciendo el gesto de llamar;llamar|mano|meñique|pulgar
👈;dorso de mano con índice a la izquierda;dedo|índice|izquierda|mano
👉;dorso de mano con índice a la derecha;dedo|derecha|índice|mano
👆;dorso de mano con índice hacia arriba;apuntar|arriba|dedo|mano
🖕;dedo corazón hacia arriba;corazón|dedo|mano|peineta
👇;dorso de mano con índice hacia abajo;abajo|apuntar|dedo|mano
☝️;dedo índice hacia arriba;apuntar|arriba|dedo|mano
🫵;dedo índice apuntándote a ti;apuntar|ti|tú
👍;pulgar hacia arriba;arriba|mano|pulgar|señal
👎;pulgar hacia abajo;abajo|mano|pulgar|señal
✊;puño en alto;cerrado|mano|puñetazo|puño
👊;puño cerrado;puñetazo|puño
🤛;puño hacia la izquierda;izquierda|puño
🤜;puño hacia la derecha;derecha|puño
👏;manos aplaudiendo;aplaudir|manos|palmas|señal
🙌;manos levantadas celebrando;celebración|gesto|hurra|mano
🫶;manos formando un corazón;amor
👐;manos abiertas;abiertas|manos
🤲;palmas hacia arriba juntas;oración
🤝;apretón de manos;acuerdo|apretón|manos
🙏;manos en oración;gracias|mano|oración|orar|por favor|rezar
✍️;mano escribiendo;escribir|lápiz|mano
💅;pintarse las uñas;cosmética|esmalte|manicura|uñas
🤳;selfi;autofoto|cámara|selfie|teléfono
💪;bíceps flexionado;bíceps|cómic|flexionado|fuerte|músculo
🦾;brazo mecánico;accesibilidad|ortopedia|prótesis
🦿;pierna mecánica;accesibilidad|ortopedia|prótesis
🦵;pierna;extremidad|patada
🦶;pie;patada|pisotón
👂;oreja;cuerpo
🦻;oreja con audífono;accesibilidad|audífono|prótesis auditiva|sordo
👃;nariz;cuerpo
🧠;cerebro;inteligente
🫀;corazón humano;anatomía|cardiología|corazón|latido|órgano|pulso
🫁;pulmones;exhalar|inhalar|órgano|respiración|respirar
🦷;diente;dentista|molar|muela
🦴;hueso;esqueleto
👀;ojos;cara
👁️;ojo;cuerpo
👅;lengua;cuerpo
👄;boca;labios
🫦;labio mordido;ansioso|incómodo|ligar|miedo|nervioso|preocupado
👶;bebé;joven|niño
🧒;infante;crío|género|joven|neutro
👦;niño;joven
👧;niña;chica|joven
🧑;persona adulta;género|neutro
👱;persona adulta rubia;rubia|rubias|rubio|rubios
👨;hombre;adulto
🧔;persona con barba;barbas|barbudo|persona
🧔‍♂️;hombre: barba;barba|hombre
🧔‍♀️;mujer: barba;barba|mujer
👨‍🦰;hombre: pelo pelirrojo;adulto|hombre|pelo pelirrojo
👨‍🦱;hombre: pelo rizado;adulto|hombre|pelo rizado
👨‍🦳;hombre: pelo blanco;adulto|hombre|pelo blanco
👨‍🦲;hombre: sin pelo;adulto|hombre|sin pelo
👩;mujer;adulta
👩‍🦰;mujer: pelo pelirrojo;adulta|mujer|pelo pelirrojo
🧑‍🦰;persona adulta: pelo pelirrojo;género|neutro|pelo pelirrojo|persona adulta
👩‍🦱;mujer: pelo rizado;adulta|mujer|pelo rizado
🧑‍🦱;persona adulta: pelo rizado;género|neutro|pelo rizado|persona adulta
👩‍🦳;mujer: pelo blanco;adulta|mujer|pelo blanco
🧑‍🦳;persona adulta: pelo blanco;género|neutro|pelo blanco|persona adulta
👩‍🦲;mujer: sin pelo;adulta|mujer|sin pelo
🧑‍🦲;persona adulta: sin pelo;género|neutro|persona adulta|sin pelo
👱‍♀️;mujer rubia;mujer|rubia|rubiales
👱‍♂️;hombre rubio;hombre|rubiales|rubio
🧓;persona mayor;adulto|género neutro|género no especificado|maduro|mayor
👴;anciano;hombre|mayor
👵;anciana;mayor|mujer
🙍;persona frunciendo el ceño;ceño|fruncido|gesto|persona
🙍‍♂️;hombre frunciendo el ceño;ceño|fruncido|gesto|hombre
🙍‍♀️;mujer frunciendo el ceño;ceño|fruncido|gesto|mujer
🙎;persona haciendo pucheros;gesto|persona|pucheros
