😀;nevető arc;arc|boldog|fogak|nevetés|szmájli|vidám
😃;nagyra nyílt szemmel mosolygó arc;arc|boldog|fogak|mosoly|nevet|nevetés|nyitott száj|nyitott szájjal mosolygó arc|szmájli|vidámság
😄;nevető arc mosolygó szemmel;arc|boldog|fogak|mosoly|nevet|nyitott száj|nyitott szájjal mosolygó arc mosolygó szemmel|örül|száj|szem|szmájli|vidám szem
😁;mosolygó szemmel nevető arc;arc|boldog|fogak|mosoly|nevet|szem|szmájli|teli szájjal nevet
😆;nyitott szájjal és lehunyt szemmel mosolygó arc;arc|boldog|haha|kacag|nevetés|nyitott száj|szmájli
😅;nevető arc verejtékkel;arc|hideg verejték|ideges|izgatott|megúsztam|mosoly|nyitott száj|nyitott szájjal mosolygó arc hideg verejtékkel|stressz|szmájli
🤣;gurul a nevetéstől;arc|boldog|fej|gurul|kicsordul a könnye a nevetéstől|könny|nevet|nevetés|nevetséges|szmájli|vicces
😂;arc örömkönnyekkel;arc|haha|könnyek|nevetés|öröm|röhög|sírva nevet|sírva nevetős|szmájli|vicces
🙂;finoman mosolygó arc;arc|boldog|mosoly|szmájli
🙃;arc fejjel lefelé;arc|fejjel lefelé|fejjel lefelé fordult arc|szmájli
🫠;elolvadó arc;eloszlik|eltűnik|folyékony|olvad
😉;kacsintó arc;arc|flörtöl|húz|kacsintás|szmájli|ugrat
😊;mosolygó arc mosolygó szemmel;boldog|elégdett|elpirul|elvörösödik|mosoly|örül|szmájli|vidám szemek
😇;mosolygó arc glóriával;áldott|angyal|arc|ártatlanság|békés|dicsfény|glória|jó|jóságos|lélek|mese|mosoly|szmájli
🥰;mosolygó arc szívekkel;arc|három szív|i love you|imád|imádat|mosoly|rajong|románc|szerelem|szerelmes|szeret|szeretlek|szív
😍;mosolygó arc szív alakú szemmel;arc|mosoly|szem|szerelem|szerelmes|szívek|szmájli
🤩;csillagszemű;arc|azta|csillag|csillagos szemű|elbűvölt|elragadtatott|fülig ér a szája|hű|izgatott|szemek|szmájli|vigyorgó|vigyorog
😘;csókot dobó arc;arc|csók|flörtöl|puszi|szeret|szeretlek|szív|szmájli
😗;csókoló arc;arc|csók|flört|puszi|randi|szerelem|szmájli
☺️;mosolygó arc;arc|boldog|mosoly|nyugodt|örül|szmájli
😚;csókoló arc lehunyt szemmel;arc|behunyt szem|csók|csókot dob|csukott szem|lehunyt szem|puszi|puszit dob|szmájli
😙;csókoló arc mosolygó szemmel;arc|csók|puszi|szem|szmájli
🥲;mosolygó arc könnycseppel;arc|büszke|hálás|könny|meghatott|megkönnyebbült|mosolyog
