😀;mặt cười toe toét;cười toe toét|mặt
😃;mặt cười miệng há với mắt to;cười|há to|mặt|mặt cười mắt mở to|miệng
😄;mặt cười miệng há mắt cười;cười|mắt|mặt|miệng|mở
😁;mặt cười nhe răng và mắt cười;cười|cười nhe răng và mắt cười|mắt|mặt
😆;mặt cười miệng há mắt nhắm chặt;cười|cười ngặt nghẽo|cười ngoác miệng|cười như được mùa|cười to|hài lòng|mặt|miệng
😅;mặt cười toát mồ hôi;căng thẳng|chán nản|cười nhe răng|hào hứng|lạnh|lo lắng|mặt|miệng|mỉm cười|mở|mồ hôi
🤣;mặt cười lăn cười bò;cười|cười chảy nước mắt|cười sung sướng|lăn|mặt|sàn
😂;mặt cười với nước mắt vui sướng;cười|cười chảy nước mắt|hài thật|mặt|nước mắt|vui đấy|vui sướng
🙂;mặt cười mỉm;cười|mặt
🙃;mặt lộn ngược;lộn ngược|mặt
🫠;mặt tan chảy;biến mất|chất lỏng|hòa tan|tan chảy
😉;mặt nháy mắt;mặt|nháy mắt
😊;mặt cười híp mắt;cười mỉm|đỏ mặt|hài lòng|mắt|mặt|mặt tươi cười với đôi mắt biết cười|mỉm cười|vui mừng
😇;mặt cười có hào quang;giả tưởng|hào quang|mặt|ngây thơ|thiên thần
🥰;mặt cười với 3 trái tim;phải lòng|yêu|yêu quý
😍;mặt cười mắt hình trái tim;cười|lãng mạn|mắt|mặt|yêu
🤩;ngưỡng mộ;cười toét|mắt|mặt|ngôi sao
😘;mặt đang hôn gió;hôn|mặt
😗;mặt hôn;hôn|mặt
☺️;mặt cười;cười|mặt|thoải mái|thư giãn
😚;mặt hôn mắt nhắm;hôn|mắt|mặt|nhắm
😙;mặt hôn mắt cười;cười|hôn|mắt|mặt
🥲;mặt cười với nước mắt;biết ơn|mỉm cười|nhẹ nhõm|nước mắt|tự hào|xúc động
😋;mặt thưởng thức món ngon;cười|mặt|ngon|ngon tuyệt|thưởng thức
😛;mặt lè lưỡi;lưỡi|mặt
😜;mặt lè lưỡi nháy mắt;lưỡi|mắt|mặt|nháy mắt|nói đùa
🤪;mặt làm trò hề;lớn|mắt|ngốc|nhỏ
😝;mặt thè lưỡi mắt nhắm chặt;hương vị|kinh khủng|lưỡi|mắt|mặt
🤑;mặt có tiền ở miệng;mặt|miệng|tiền
🤗;mặt ôm;mặt|ôm
🤭;mặt với tay che miệng;tay che miệng cười|xin lỗi
🫢;mặt với cặp mắt mở to và tay che miệng;hoài nghi|kính nể|kinh ngạc|ngạc nhiên|sợ hãi|xấu hổ
🫣;mặt hé mắt nhìn trộm;nhìn chằm chằm|nhìn lén|nhìn trộm|quyến rũ
🤫;mặt ra dấu suỵt;im lặng|suỵt
🤔;mặt suy nghĩ;đang suy nghĩ|mặt
🫡;mặt chào;chào|nắng|nhà binh|ok|quân đội|vâng
