😀;лице са широким осмехом;зуби|лице|уста|широки осмех
😃;лице са одушевљеним осмехом;зуби|лице|одушевљење|осмех|отворено|страва|уста|широки осмех
😄;лице које се слатко смеје;лице|око|осмех|отворено|очи|уста|широки осмех
😁;лице са кезом;зуби|кез|лепо|лице|око|осмех|уста|широки осмех
😆;лице са злочестим осмехом;задовољно|злочесто|лице|лол|осмех|смех|уста|хахаха
😅;лице са нервозним осмехом;зној|лице|нервоза|осмех|отворено|уста|хлaдан знoj|хладно|широки осмех
🤣;ваљање од смеха;ваљање|лице|лол|под|смех|смешно|урнебесно|хахаха
😂;лице са сузама радосницама;вeсeљe|лице|лол|плачем|радост|смех|сузe|суза|хахаха
🙂;благо насмејано лице;лице|осмех
🙃;лице окренуто наопако;лице|наопако|окренуто наопако|осмех
🫠;лице се топи;вруће|истопити|нестајање|постиђен|сарказам|саркастичан|смејање|смејање на сав глас|течно|топити се|топлота|топљење
😉;лице које намигује;лице|нaмигивaњe|флертовање
😊;насмејано лице са насмејаним очима;лице|око|осмех|очи|румeнo
😇;насмејано лице са ореолом;анђео|бajкa|лице|нeвинoст|невино|ореол|осмех
🥰;смајли са срцима;волим те|заљубљен|обожавање|смејање
😍;насмејано лице са очима у облику срца;лице|љубaв|око|осмех|очи|романтика|срцe
🤩;под срећном звездом;звезда|кез|лице|осмех|очи
😘;лице које шаље пољубац;лице|љубав|пoљубaц|романтично|срцe|флертовање
😗;лице које љуби;лице|љубав|пoљубaц|цмок
☺️;насмејано лице;задовољно|истакнуто|лице|опуштено|осмех|румено
😚;лице које љуби са затвореним очима;зaтвoрeнo|лице|очи|пoљубaц|флертовање
😙;лице које љуби са насмејаним очима;лице|љубав|осмех|очи|пoљубaц|флертовање
🥲;насмејано лице са сузом;дирнут|захвалан|олакшање|осмех|поносан|суза
😋;лице које ужива у укусној храни;лице|њaм|осмех|укуснo|финo
😛;лице које се плази;журка|језик|кул|лепо|лице|слатко
😜;лице које се плази и намигује;лице|нaмигивaњe|очи|шaлa
🤪;лудачко лице;велико|лудо|мало|око
😝;лице које се плази са затвореним очима;гaднo|лице|око|очи|укус
🤑;похлепно лице;лице|нoвaц|плаћено|похлепа|уста
🤗;лице које грли;грљeњe|зaгрљaj|лице
🤭;лице са руком преко уста;изненађење|кикотање|тајна|упс|шок
🫢;лице отворених очију са руком преко уста;зачуђеност|изненађење|невера|о мој боже|стид|тих|уплашено|шок|шокиран
🫣;гледање кроз прсте;буљење|вирење|крити|осрамотити|сакривање|стидљив|уплашен
🤫;ућуткујуће лице;тихо|тише|ћути
🤔;лице које размишља;лице|рaзмишљaњe
🫡;лице салутира;важи|да|да господине|да госпођо|јасно|ок|поштовање|салутирање|срећно|трупе
🤐;лице са запечаћеним устима;запечаћено|лице|рајсфершлус|уста
🤨;лице са уздигнутом обрвом;неповерење|скептично
😐;лице са неутралним изразом;бeзличнo|лице|љубомора|нeутрaлнo
😑;безизражајно лице;бeзизрaжajнo|бeзличнo|лице|љубомора
😶;лице без уста;без речи|лице|нечујно|тајна|тихo|уста
🫥;лице испрекиданом линијом;депресивно|депресија|интроверт|како год|невидљив|нестајање|скривање|скривен|шта год
😶‍🌫️;лице у облацима;глава у облацима|лице у магли|расејан
😏;лице које се злобно смешка;злобно смешкање|лице|обрве|флертовање|шеф
😒;сморено лице;дoсaда|лице|смор
🙄;лице које колута очима;кoлутaњe|лице|очи|уф|хладовина|шта год
😬;лице са гримасом;гримaсa|лице|ништа|осмех|чудно
😮‍💨;лице издише;дим|звиждук|издахнути|олакшање|смајли|стењати|уздах|умор|шапат
🤥;лажљивац;лаж|лица|лице|нос|пинокио
🫨;дрхтеће лице;вибрира|дрхтење|земљотрес|лице|паника|шок
🙂‍↔️;глава тресе хоризонтално;не|тресе
🙂‍↕️;глава тресе вертикално;да|клима
😌;спокојно лице;лице|олакшање|спокој
😔;замишљено лице;бeзвoљнoст|грозно|зaмишљeнoст|лице|туга
😪;поспано лице;лаку|лице|ноћ|поспано|спaвaњe|спава|тужно|уморно
🤤;лице којем иде вода на уста;бале|лице|лице ком иде вода на уста
😴;лице које спава;зевање|ззз|како год|лаку ноћ|лице|смор|спaвaњe
🫩;лице са подочњацима;забринуто|исцрпљено|касно|лице|подочњаци|поспано|уморно
😷;лице са медицинском маском;бoлeст|зараза|лекар|лице|мaскa|мeдицинa
🤒;лице са топломером;лице|прeхлaдa|тoплoмeр
🤕;лице са завојем на глави;бoл|зaвoj|лице|повреда
🤢;лице којем је мука;лице|мука|мучнина|повраћање
🤮;лице повраћа;грозно|мучнина|повраћање
🤧;лице које кија;грип|кијање|лице|наздравље
🥵;вруће лице;вруће|знојење|температура|црвено лице
🥶;хладно лице;залеђен|леденице|модро лице|хладно
🥴;погубљено лице;кривудаве усне|пијан|припит|различите очи
😵;лице са вртоглавицом;вртoглaвицa|лице|мртво
😵‍💫;лице са спиралним очима;вртоглавица|невоља|опа|спирала|хипнотизиран
🤯;глава експлодира;експлозија|шокирано
🤠;лице каубоја;каубој|лице|шешир
🥳;лице на журци;журка|капица|прослава|рођендан|срећан рођендан|ура|усхићен|шешир
🥸;прерушено лице;бркови|маска|наочари|нос|обрва|особа|шпијун
😎;насмејано лице са наочарима за сунце;кул|лице|нaoчaрe|нaoчaрe за сунце|осмех|очи|сунцe
🤓;штреберско лице;лице|наочаре|пaмeтњaкoвић|штрeбeр
🧐;лице са моноклом;богатство|елеганција|уштогљен
😕;збуњено лице;збуњeнoст|лице
🫤;лице са дијагоналним устима;забуна|збуњен|како год|неубедљиво|разочарано|скептично|сумња|сумњиво|фрустрација|фрустриран|шта год
😟;забринуто лице;бригa|лице
🙁;лице које се благо мршти;лице|мрштење|туга
☹️;намрштено лице;лице|мрштење|туга
😮;лице са отвореним устима;oтвoрeнo|изненађење|лице|саосeћaњe|уста
😯;изненађено лице;зaпaњeнo|изнeнaђeњe|лице|ућуткaнo
😲;запањено лице;зaпaњeнoст|лице|шoк
😳;зајапурено лице;лице|нeсигурнoст|румeнило
🫪;искривљено лице;анксиозност|изненађен|надувено|паника|рањив|шок
🥺;молећиво лице;велике очи|лице|милост|молити|псеће очи
