😀;grínandi andlit;andlit|grín
😃;grínandi andlit við stórum eygum;andlit|eygu|grín|munnur|opin|stór
😄;grínandi andlit við brosandi eygum;andlit|grín|munnur|opin
😁;strálandi andlit við brosandi eygum;andlit|bros|eyga|grín|smíl
😆;grínandi andlit við krympaðum eygum;andlit|eygu|grín|krympa
😅;grínandi andlit við sveitta;andlit|bros|grín|smíl|sveitti
🤣;tárandi flennandi andlit;andlit|lofl|tár
😂;andlit við gleðistárum;andlit|gleði|látur|tár
🙂;andlit ið smílur eitt sindur;andlit|bros|smíl
🙃;andlit ið vendur á høvdinum;andlit|upp og niður
🫠;smelta andlit;heitt|smeltandi|speiorð
😉;andlit við blunkandi eyga;andlit|blunk
😊;brosandi andlit við brosandi eygum;andlit|bros|eyga|rodna
😇;brosandi andlit við halgiboga;andlit|gloria|halgibogi|sakleys
🥰;smílandi andlit við hjørtum;andlit|elska|hjarta|kærleikur
😍;smílandi andlit við hjarta eygum;andlit|hjarta|kærleikur
🤩;stjørnuandlit;andlit|stjørna
😘;andlit ið sendur hjarta koss;andlit|koss|muss
😗;mussandi andlit;andlit|koss|muss
☺️;brosandi andlit;andlit|bros
😚;mussandi andlit við afturlatnum eygum;afturlatin|andlit|eygu|koss|muss
😙;mussandi andlit við brosandi eygum;andlit|bros|eyga|koss|muss
🥲;smílandi andlit ið tárar;andlit|bros|errin|stolt|stoltur|takksamur|takksom
😋;andlit við matarlystið;andlit|lekkurt|matarlystur|tunga
😛;gálvandi andlit;andlit|gálva|tunga
😜;gálvandi andlit við blunkandi eyga;andlit|blunka|eyga|gálva|tunga
🤪;svakt andlit;andlit|eygu|ørt|svakt
😝;gálvandi andlit við krympaðum eygum;andlit|eygu|gálva|krympa|tunga
🤑;peningaandlit;andlit|munn|pengar
🤗;klemmandi andlit;andlit|klemm
🤭;andlit við hond yvir munnin;andlit|hond|munn|ups
🫢;andlit við opnum eygum og við hond yvir munnin;bangin|omg|ræðsla
🫣;lúrandi andlit;bangin|lúra|omg|ræðsla|rukka|smæðin
🤫;hússjandi andlit;andlit|hússja
🤔;hugsandi andlit;andlit|hugsandi
🫡;heilsandi andlit;heilsan|hermaður|hermannakvøða|kvøða
🤐;lýnlás andlit;andlit|lýnlás
🤨;andlit við upplyftum eygnabrúni;andlit|eygnabrún|ivi|skeptisk|skeptiskur
😐;nevtralt andlit;andlit|nevtralt|ópartískt
😑;kensluleyst andlit;andlit|kensluleyst
😶;andlit uttan munn;andlit|munn
🫥;prikka andlit;strika|strikut
😶‍🌫️;andlit í skýggjum;burtur í øðrum heimi|hugspjaddur
😏;lúrt andlit;andlit|lúrin|snildur
😒;ikki stuttligt andlit;andlit|ikki stuttligt
🙄;andlit við rullandi eygum;andlit|eygu|rullandi
😬;andlit ið vísur tenn;andlit|snerkja|tenn
😮‍💨;andlit andar út;anda út|bríksla|floyta|suffa
