😀;leveä hymy;hymy|kasvot|naama|virnistys
😃;hymy suu auki;auki|hymy|iloinen|kasvot|naama|suu
😄;hymyilevät silmät ja suu;auki|hymy|kasvot|naama|silmä|suu
😁;virnistys ja hymyilevät silmät;hymy|kasvot|naama|silmä|virnistys
😆;hymy ja tiukasti suljetut silmät;auki|hymy|naama|nauru|suu|tyytyväinen
😅;hymy ja kylmänhiki;auki|hiki|hymy|kylmä|naama
🤣;nauraa kippurassa;kasvot|kippura|naama|nauraa|nauru
😂;kasvot naurunkyynelissä;ilo|itkunauru|kasvot|naama|naurunkyyneleet
🙂;pieni hymy;hymy|naama
🙃;ylösalainen naama;naama|väärinpäin|ylösalainen
🫠;sulava naama;kadota|kuuma|liueta|nolo|pehmenevä|sarkasmi|sulaa|sulavat kasvot|valuva
😉;silmänisku;flirtti|huumori|kasvot|naama|salaisuus|silmä
😊;punastunut hymy;hymy|naama|punastunut|silmä
😇;hymy ja sädekehä;enkeli|hymy|naama|sädekehä|satu|viaton
🥰;hymy ja kolme sydäntä;hymy|ihailla|ihastunut|kasvot|rakastunut
😍;hymy ja sydänsilmät;hymy|naama|rakkaus|silmä|sydän
🤩;tähtisilmä;iloinen|kasvot|naama|silmät|tähdet|virnistys
😘;lentosuukko;naama|pusu|sydän
😗;pusunaama;naama|pusu|suudelma|suukko
☺️;hymynaama;hymy|naama|punoitus|rento
😚;pusunaama ja suljetut silmät;naama|pusu|silmä|suljettu
😙;pusunaama ja hymyilevät silmät;hymy|naama|pusu|silmä
🥲;hymyilevät kasvot ja kyynel;helpottunut|hymiö|hymyilee|itku|kiitollinen|kyynel|liikuttunut|ylpeä
😋;herkullista ruokaa nauttinut;herkullinen|hymy|naama|nam|nami|nautiskeleva
😛;kieli ulkona;juhla|kieli|mahtavaa|naama
😜;kieli ulkona ja silmänisku;kieli|kieli ulkona|naama|silmä|silmänisku|vitsi
🤪;mielipuoli;eripari|silmät|virne
😝;kieli ulkona ja silmät tiukasti kiinni;kamala|kieli|maku|naama|silmä
🤑;dollarisilmät ja rahasuu;naama|raha|suu
🤗;halaava naama;halaus|hali|naama
🤭;käsi suun edessä;hups|kiherrys|lipsahdus|salaisuus|yllätys
🫢;silmät pyöreinä käsi suun edessä;ällikkä|ällistys|epäusko|hämmästys|nolo|peloissaan|yllättyny|yllättynyt
🫣;kurkistus sormien takaa;ihastunut|kiehtova|kurkistaa|kurkkia|tiirata|ujo|vilkuilla
🤫;hyssyttelevä;hiljentää|hyssyttää|kasvot|shh
🤔;mietteliäs;naama
