😀;ծիծաղող դեմք;դեմք|քմծիծաղել
😃;ժպտացող դեմք բաց բերանով;բաց|բերան|դեմք|ժպտալ
😄;ժպտացող աչքերով լայն ժպիտով դեմք;աչք|բաց|բաց բերնով ժպտացող դեմք՝ ժպտացող աչքերով|բերան|դեմք|ժպտալ
😁;ծիծաղող դեմք ժպտացող աչքերով;աչք|դեմք|ժպտալ|քմծիծաղել
😆;աչքերը կկոցած լայն ժպիտով դեմք;բաց|բերան|գոհ|ժպտացող դեմք բաց բերանով և ամուր փակած աչքերով|ծիծաղել|քմծիծաղող շեղված դեմք
😅;սառը քրտինքով լայն ժպիտով դեմք;բաց|դեմք|ժպտալ|ժպտացող դեմք բաց բերանով և սառը քրտինքով|քրտինք
🤣;ծիծաղից գլորվում է;գլորվել|դեմք|ծիծաղ
😂;դեմք ուրախության արցունքներով;արցունք|դեմք|ծիծաղել|ուրախություն
🙂;թեթևակի ժպտացող դեմք;դեմք|ժպիտ
🙃;գլխիվայր դեմք;գլխիվայր|դեմք
🫠;հալչող դեմք;անհայտանալ|լուծվել|հալչել|հեղուկ
😉;աչքով անող դեմք;աչքով անել|դեմք
😊;ժպտացող դեմք ժպտացող աչքերով;աչք|դեմք|ժպիտ|շիկնել
😇;ժպտացող դեմք լուսապսակով;անմեղ|դեմք|ժպիտ|լուսապսակ|հրեշտակ
🥰;ժպտացող դեմք սրտիկներով;ժպիտ|սիրահարված|սրտիկներ
😍;ժպտացող դեմք սրտաձև աչքերով;աչք|դեմք|ժպիտ|սեր
🤩;աչքերում աստղեր;աչքեր|աստղեր|ծիծաղ
😘;համբույր ուղարկող դեմք;դեմք|օդային համբույր
😗;համբուրող դեմք;դեմք|համբույր
☺️;ժպտացող դեմք;անկաշկանդ|դեմք|ժպտալ
😚;համբուրող դեմք փակ աչքերով;աչք|դեմք|համբուրել|փակ
😙;համբուրող դեմք ժպտացող աչքերով;աչք|դեմք|ժպտալ|համբուրել
🥲;արցունքով ժպտացող դեմք;արցունք|ժպտացող|հպարտ|շնորհակալ
😋;համեղ ուտելիք վայելող դեմք;դեմք|ժպիտ|համեղ|նյամ|վայելել
😛;լեզուն հանած դեմք;դեմք|լեզու
😜;լեզուն հանած և աչքով անող դեմք;աչք|դեմք|լեզու|կատակ
🤪;խենթ դեմք;աչք|մեծ|փոքր
😝;լեզուն հանած և աչքերն ամուր փակած դեմք;ահավոր|աչք|դեմք|լեզու|սարսափելի
🤑;թղթադրամը բերանին դեմք;բերան|դեմք|դրամ|փող
🤗;գրկող դեմք;գրկախառնում|գրկախառնվել|դեմք
🤭;ձեռքը բերանին դեմք;վայ
🫢;բաց աչքերով դեմք եւ ձեռքով՝ բերանի վրա;
🫣;ծկրակող աչքով դեմք;աչք դնել|զննել|հմայված
🤫;«սուս» անող դեմք;լուռ|լռություն|սուս
🤔;մտածող դեմք;դեմք|մտածող
🫡;ողջունող դեմք;արևոտ|բանակ|եղավ|լավ|ողջույն|ոնց ասես
🤐;ճարմանդավոր բերանով դեմք;բերան|դեմք|ճարմանդ|շղթա
🤨;բարձրացրած հոնքով դեմք;անհավատ|կասկածանք
😐;չեզոք դեմք;անվրդով|դեմք|չեզոք
😑;անհույզ դեմք;անարտահայտիչ|առանց էմոցիաների|դեմք|ոչինչ չարտահայտող
😶;առանց բերանի դեմք;բերան|դեմք|լուռ|հանգիստ
🫥;կետագծված դեմք;անհետանալ|անտեսանելի|ընկճված|թաքնվել|ներփակված
😶‍🌫️;դեմք ամպերի մեջ;գլուխ ամպերի մեջ|դեմք մառախուղի մեջ|ցրված
