😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
😃;მომღიმარე სახე ღია პირით;პირი|პირღია|სახე|ღია|ღიმილი
😄;მომღიმარე სახე ღია პირითა და მომღიმარე თვალებით;თვალი|პირი|პირღია|სახე|ღია|ღიმილი
😁;დაკრეჭილი სახე მომღიმარე თვალებით;დაკრეჭა|დაკრეჭილი|თვალი|სახე|ღიმილი
😆;მომღიმარე სახე ღია პირითა და მაგრად დახუჭული თვალებით;კმაყოფილი|პირი|პირღია|სახე|სიცილი|ღია|ღიმილი
😅;მომღიმარე სახე ღია პირითა და ცივი ოფლით;ოფლი|ოფლიანი|პირღია|სახე|ღია|ღიმილი|ცივი
🤣;სიცილისგან იატაკზე ხოხვა;იატაკი|სახე|სიცილი|ხოხვა
😂;სახე სიხარულის ცრემლებით;მხიარული|სახე|სიცილი|სიხარული|ცრემლი|ცრემლიანი
🙂;ოდნავ მომღიმარე სახე;სახე|ღიმილი
🙃;ამოტრიალებული სახე;ამოტრიალებული|სახე
🫠;დნება სახე;გაქრება|დაითხოვს|დნება|თხევადი
😉;სახე ჩაკრული თვალით;სახე|ჩაკვრა|ჩაპაჭუნება
😊;მომღიმარე სახე მომღიმარე თვალებით;თვალი|სახე|სირცხვილი|უხერხულობა|ღიმილი
😇;მომღიმარე სახე შარავანდედით;ანგელოზი|ზღაპარი|სახე|უდანაშაულო|უმანკო|ფანტაზია|ფანტასტიკა|ღიმილი|შარავანდედი
🥰;მომღიმარე სახე სამი გულით;გაღმერთება|თაყვანისცემა|შეყვარებული
😍;მომღიმარე სახე გულის ფორმის თვალებით;გული|თვალი|სახე|სიყვარული|ღიმილი
🤩;ვარსკვლავიანი სახე;დაკრეჭილი|ვარსკვლავი|თვალები|სახე
😘;სახე, რომელიც კოცნას აგზავნის;გული|კოცნა|რომელიც კოცნას აგზავნის|სახე
😗;კოცნის გამომხატველი სახე;კოცნა|სახე
☺️;მომღიმარე სახე;კონტურიანი|მშვიდი|სახე|ღიმილი
😚;კოცნის გამომხატველი სახე დახუჭული თვალებით;დახურული|თვალი|კოცნა|სახე
😙;კოცნის გამომხატველი სახე მომღიმარე თვალებით;თვალი|კოცნა|სახე|ღიმილი
🥲;მომღიმარი სახე ცრემლით;ამაყი|გულაჩუყებული|მადლიერი|მომღიმარი|ცრემლი
😋;სახე, რომელიც გემრიელ საჭმელს აგემოვნებს;გემრიელი|დაგემოვნება|მმმ|რომელიც გემრიელ საჭმელს აგემოვნებს|სახე|ღიმილი
😛;სახე გამოყოფილი ენით;ენა|სახე
😜;სახე გამოყოფილი ენითა და ჩაკრული თვალით;ენა|თვალი|სახე|ჩაკვრა|ჩაპაჭუნება|ხუმრობა
🤪;შეშლილი სახე;გაგიჟებული|დიდი|პატარა|სახე|შეშლილი
😝;სახე გამოყოფილი ენითა და მაგრად დახუჭული თვალებით;გემო|ენა|თვალი|საშინელი|სახე
🤑;სახე ენაზე ფულით;პირი|სახე|ფული
🤗;ჩახუტების გამომხატველი სახე;სახე|ჩახუტება
🤭;სახეზე აფარებული ხელი;ვაი|უი
🫢;სახე თვალებგაფართოებული და პირზე ხელი გადასცა;არეულობა|გაოცება|ურწმუნოება|შეშინებული|შიში
🫣;სახე იჭყიტება ცალი თვალით;გაიტაცა|მზერა
🤫;გაჩუმების ჟესტი;სიჩუმე|სუუ|შშშ|ჩუ|ჩუმად
🤔;ჩაფიქრებული სახე;სახე|ფიქრი
🫡;სახე მხედრული სალმით;დიახ|კარგი|მზიანი|მხედრული სალამი|ჯარი
🤐;ელვა-შესაკრავიანი სახე;ელვა|პირი|სახე
🤨;წარბაწეული სახე;ეჭვი|სკეპტიკური|უნდობლობა
😐;ნეიტრალური სახე;ნეიტრალური|სახე|უემოციო
😑;უემოციო სახე;არაფრის მთქმელი|არაფრისმთქმელი|სახე|უემოციო
😶;უპირო სახე;პირი|სახე|სიჩუმე|სიწყნარე
🫥;პუნქტირით შემოხაზული სახე;გაქრობა|დამალვა|დეპრესიული|ინტროვერტი|უხილავი
😶‍🌫️;სახე ღრუბლებში;გაფანტული|სახე
😏;დამცინავი სახე;დაცინვა|სახე
😒;უხალისო სახე;სახე|უხალისო|ცალყბა
🙄;სახე გადატრიალებული თვალებით;გადატრიალება|თვალები|სახე
😬;დამანჭული სახე;დამანჭვა|სახე
😮‍💨;ამოსუნთქვა;ამოოხვრა|სტვენა|ჩურჩული
🤥;მატყუარა სახე;პინოქიო|სახე|ტყუილი
🫨;აცახცახებული სახე;ვიბრაცია|მიწისძვრა|სახე|შოკი|ცახცახი
🙂‍↔️;თავის გაქნევა;თავის გაქნევით უარი
🙂‍↕️;თავის დაქნევა;თავის დაქნევით დათანხმება
😌;შვების გამომხატველი სახე;სახე|შვება
