😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|হাসি
😃;বড় বড় চোখ করে হাসি মুখ;খোলা|ঠোঁট|ব্যক্তি|মুখ|হাসি
😄;খোলা মুখে চোখে হাসির সাথে মুখে হাসি;খোলা|চোখ|ঠোঁট|মুখ|হাসি
😁;চোখে হাসির সাথে মুখে দেঁতো হাসি;চোখ|দাঁত|দেঁতো হাসি|মুখ|হাসি
😆;চোখ বন্ধ করে দেঁতো হাসি;খোলা|চোখ বন্ধ|জোরে হাসা|ঠোঁট|মুখ|সন্তুষ্ট|হা হা হা|হাসতে হাসতে|হাসি
😅;মুখ খোলা এবং ঠাণ্ডা ঘামের সাথে মুখে হাসি;উত্তেজিত|কপালে টেনশন মুখে হাসি|খোলা|ঘর্মাক্ত অবস্থা|ঘাম|ঠান্ডা|মুখ|হাসি
🤣;হেসে মাটিতে লুটোপুটি খাওয়া;গড়াগড়ি|চোখে জল|চোখে পানি|মাটি|মুখ|স্মাইলি|হাসি
😂;আনন্দের কান্না ভরা মুখ;আনন্দ|কান্না|চোখে পানি|জোরে হাসা|মুখ|হা হা হা|হাসতে হাসতে চোখে জল|হাসিকান্না
🙂;মুখে সামান্য হাসি;মুখ|হাসি
🙃;মাথাটা নিচে তলাটা উপরে এমন মুখ;উল্টো|ওল্টানো চেহারা|মুখ
🫠;গলিত মুখ;অদৃশ্য|উত্তাপ|গরম|গলা|গলে জল|গলে যাওয়া|তরল|ব্যাঙ্গাত্মক|লজ্জিত|হা হা
😉;চোখ মারা;চোখ|চোখ টিপা|চোখ টিপে হাসি|মুখ
😊;চোখে হাসির সাথে মুখে হাসি;গালে লজ্জার গোলাপী আভা|চোখ|মুখ|হাসি
😇;মাথায় চক্রের সাথে মুখে হাসি;আশীর্বাদ|ঈশ্বরের আশীর্বাদ|কল্পনা|জ্যোতির্বলয়|দেবদূত|নিরীহ|মুখ|রূপকথা|হাসি
🥰;হার্ট সহ হাসি মুখ;অন্তর|আনন্দিত|আমি তোমাকে ভালোবাসি|ক্র্যাশ|খুব পছন্দ|পছন্দ|প্রেম|প্রেমে|প্রেমে পড়া
😍;হার্টের-আকারের চোখের সাথে হাসি মুখ;আনন্দে পুলকিত|কিস|চোখ|ভালবাসা|মুখ|হার্ট|হাসি
🤩;তারকা-প্রণয়াভিলাসী;উত্তেজিত|ওয়াও|খুশি|চোখ|তারা|মুখ|স্টার|স্মাইলি|হাসি|হাস্যরত
😘;মুখ দিয়ে চুম্বন ছোঁড়া;কিস|চুমু|চুম্বন|মুখ|হার্ট
😗;চুম্বনরত মুখ;কিস|চুমু|চুম্বন|প্রেম|ভালোবাসা|মুখ
☺️;হাসি মুখ;খুব খুশি|নিশ্চিন্ত|মুখ|রূপরেখা|হাসি
😚;চোখ বন্ধ থাকা অবস্থায় চুম্বনরত মুখ;কিস|চুমু|চুম্বন|চোখ|বন্ধ|মুখ
😙;চুম্বনরত মুখের সাথে চোখে হাসি;কিস|চুমু|চুমু দেওয়া হাসি|চুম্বন|চোখ|মুখ|হাসি
🥲;এক চোখে অশ্রু নিয়ে হাসি মুখ;অভিমানী|অশ্রু|আনন্দ|আপ্লুত|আবেগ|আবেগে আপ্লুত|কষ্ট|কৃতজ্ঞ|খুশি|গর্বিত|নিশ্চিন্ত|বেদনা|ব্যাথা|স্মাইলি|হাসি|হাসিখুশি
😋;সুস্বাদু খাদ্যের স্বাদ নেওয়ার মত মুখ;খাবার|খুব খিদে পেয়েছে|ঘ্রাণ নেওয়া|জিভে জল|মুখ|লোভ লাগছে|সুস্বাদু|হাসি
😛;জিভ বার করা মুখ;জিভ ভেঙানো|মুখ
😜;জিভ কাটা ও চোখ মারা মুখ;চোখ|চোখ মারা|জিভ কাটা|জিভ বার করা|জিভ বার করে কাটা ও চোখ মারা মুখ|দুষ্টুমি|মজা করা|মুখ
🤪;পাগলের মত মুখ;চোখ|ছোট|পাগল|পাগলামো|বড়|ব্যক্তি|মানুষ|স্মাইলি
😝;জিভ বার করে কাটা ও দৃঢ়ভাবে চোখ বন্ধ করা মুখ;এ বাবা|চোখ|জিভ বার করা|ভয়ঙ্কর|মুখ|স্বাদ
🤑;অর্থের মত মুখ;টাকা|ঠোঁট|মুখ
🤗;আলিঙ্গনরত মুখ;আলিঙ্গন|আলিঙ্গন রত|মুখ|হাত
🤭;মুখের ওপর হাত দেওয়া মুখ;উপ্স|উল্লসিত মুখ|খিলখিল|ব্যক্তি|মানুষ|মুখ ঢেকে হাসি|স্মাইলি|হাসি
🫢;খোলা চোখ এবং মুখের উপর হাত চাপা দেওয়া;অবিশ্বাস|আতঙ্ক|আশ্চর্য|ওমা গো|চুপ|বিব্রত|বিস্ময়|ভীত
🫣;উঁকি মারা চোখের মুখ;উঁকি মারা|টুকি|তাকিয়ে থাকা|বিমুগ্ধ|লজ্জা পাওয়া
🤫;চুপ করা মুখ;কিছু বলব না|চুপ|চুপ করা|নিঃশব্দ|নীরব|ব্যক্তি|মানুষ|শান্ত|স্মাইলি|হুশ
🤔;চিন্তা করার মত মুখ;চিন্তিত|ব্যক্তি|মুখ
🫡;স্যালুট করা মুখ;আপনাকে স্যালুট|ঠিক আছে|রোদালো|সৈন্যগণ|স্যালুট|হ্যাঁ|হ্যাঁ স্যার
🤐;মুখে কুলুপ আঁটা;ঠোঁট|বলব না|মুখ
🤨;ভ্রু কোচকানো মুখ;অবাক|অবিশ্বাস|ব্যক্তি|ভাবা যায় না|ভ্রু কুঁচকানো|মানুষ|সন্দেহভাজন|স্মাইলি
😐;নিরপেক্ষ মুখ;আনন্দকর নয়|নিরপেক্ষ|ভাবলেশহীন|মুখ|হাসি পেল না
😑;ভাবলেশহীন মুখ;অর্থশূন্য|অর্থহীন|উদ্বেগ নেই|ভাবলেশহীন|ভাবশূন্য|মুখ|মৃত
😶;মুখ ছাড়াই মুখমণ্ডল;কিছু বলার নেই|গোপনীয়|চুপ করে থাকাই ভাল|ঠোঁট|নীরব|ভাবলেশহীন মুখ|মুখ|শান্ত
🫥;রেখা বিন্দুর মুখ;অদৃশ্য|অন্তর্মুখী|অপ্রত্যক্ষ|পরোয়া করিনা|লুকানো|হতাশ
😶‍🌫️;মেঘে মুখ;অমনোযোগী|কুয়াশায় ঢাকা মুখ|মেঘের মধ্যে মাথা|মেঘের মধ্যে মুখ
😏;কৃত্রিম হাসির মুখ;বিদ্রুপ করা|ব্যঙ্গ করে হাসা|ব্যাঙ্গাত্বক হাসি|মুখ
😒;বিরক্ত মুখ;অসুখী|ধুশ|বিরক্ত|বিরক্তি|ভাল লাগছে না|মুখ
🙄;চোখ গোল গোল করা মুখ;ঘূর্ণায়মান|চোখ|চোখ কপালে|চোখ ঘুরানো|মুখ
😬;দাঁত বার করা মুখ;কিছু না|দাঁত|ভেংচানো|মুখ
😮‍💨;নিশ্বাস ছাড়া মুখ;অবসন্ন|অবসাদগ্রস্ত|কাতরানো|ক্লান্ত|ত্রাণ|দুর্দশা|ধূমপান|নিঃশ্বাস|ফিসফিস|বাঁশি|হাঁফানো
🤥;মিথ্যুকের নাক লম্বা;পিনাকিও|মিথ্যা|মিথ্যুক|মুখ
🫨;কাঁপা মুখ;আঘাত|কম্পন|কাঁপা|ভয়ে কাঁপুনি ধরা|ভূমিকম্প|মুখ
🙂‍↔️;এপাশ ওপাশ মাথা নাড়ানো;না বলতে|নাড়ানো
🙂‍↕️;উপর নীচে মাথা নাড়ানো;মাথা নেড়ে|হ্যাঁ বলা
😌;চিন্তা মুক্ত মুখ;চিন্তা মুক্ত|মুখ|স্বস্তি পাওয়া|স্বস্তির আশ্বাস
😔;বিষণ্ণ মুখ;বিষণ্ণ|ভাল লাগছে না|মনমরা|মুখ
😪;ঘুম ঘুম ভাব;ক্লান্ত|ঘুমন্ত অবস্থা|মুখ
🤤;লোভী মুখ;মুখ|লালা|লোভী|লোভে লক লক
😴;ঘুমন্ত মুখ;ঘুম|ঘুমন্ত অবস্থা|ঘুমানো|ঘুমে বিভোর|নাক ডাকা|মুখ|শুভ রাত্রি
🫩;ক্লান্তি;ক্লান্ত|ঘুমন্ত
😷;মুখের মধ্যে মেডিক্যাল মাস্ক;অসুস্থ|ওষুধ|ঠান্ডা|ঠান্ডা লাগা|ডাক্তার|মাস্ক করে ঠান্ডা থেকে বাঁচা|মুখ|মুখোশ
