😀;;acmumeḥ meqqren
😁;;acmumeḥ n tuɣmas meṛṛa
😊;;udem innecṛaḥen s wallen icmumḥen
😘;;tasudent d wul
☺️;;udem n ucmumeḥ
😚;;tasudent allen medlent
😛;;Udem s yiles
😜;;Udem yessufɣen iles
🤗;;udem yefkan ahennec
😐;;war awal
😪;;udem yeṭṭsen
🤒;;udem s utirmumitr
☹️;;udem amiglaz
😯;;udem war taɣect
😣;;udem akayay
😫;;udem yeɛyan
🧒;;agrud
👨‍🦰;argaz: acekkuḥ azeggaɣ;acekkuḥ azeggaɣ|argaz
👨‍🦱;argaz: acekkuḥ akerṭuṭfan;acekkuḥ akerṭuṭfan|argaz
👨‍🦳;argaz: acekkuḥ amellal;acekkuḥ amellal|argaz
👨‍🦲;argaz: aferḍas;aferḍas|argaz
👩‍🦰;tameṭṭut: acekkuḥ azeggaɣ;acekkuḥ azeggaɣ|tameṭṭut
🧑‍🦰;amdan: acekkuḥ azeggaɣ;acekkuḥ azeggaɣ|amdan
👩‍🦱;tameṭṭut: acekkuḥ akerṭuṭfan;acekkuḥ akerṭuṭfan|tameṭṭut
🧑‍🦱;amdan: acekkuḥ akerṭuṭfan;acekkuḥ akerṭuṭfan|amdan
👩‍🦳;tameṭṭut: acekkuḥ amellal;acekkuḥ amellal|tameṭṭut
🧑‍🦳;amdan: acekkuḥ amellal;acekkuḥ amellal|amdan
👩‍🦲;tameṭṭut: aferḍas;aferḍas|tameṭṭut
🧑‍🦲;amdan: aferḍas;aferḍas|amdan
👩‍❤️‍👨;tayuga s wul: tameṭṭut, argaz;argaz|tameṭṭut|tayuga s wul
👨‍❤️‍👨;tayuga s wul: argaz, argaz;argaz|tayuga s wul
👩‍❤️‍👩;tayuga s wul: tameṭṭut, tameṭṭut;tameṭṭut|tayuga s wul
👨‍👩‍👦;tawacult: argaz, tameṭṭut, aqcic;aqcic|argaz|tameṭṭut|tawacult
👨‍👩‍👧;tawacult: argaz, tameṭṭut, taqcict;argaz|tameṭṭut|taqcict|tawacult
👨‍👩‍👧‍👦;tawacult: argaz, tameṭṭut, taqcict, aqcic;aqcic|argaz|tameṭṭut|taqcict|tawacult
👨‍👩‍👦‍👦;tawacult: argaz, tameṭṭut, aqcic, aqcic;aqcic|argaz|tameṭṭut|tawacult
👨‍👩‍👧‍👧;tawacult: argaz, tameṭṭut, taqcict, taqcict;argaz|tameṭṭut|taqcict|tawacult
👨‍👨‍👦;tawacult: argaz, argaz, aqcic;aqcic|argaz|tawacult
👨‍👨‍👧;tawacult: argaz, argaz, taqcict;argaz|taqcict|tawacult
👨‍👨‍👧‍👦;tawacult: argaz, argaz, taqcict, aqcic;aqcic|argaz|taqcict|tawacult
👨‍👨‍👦‍👦;tawacult: argaz, argaz, aqcic, aqcic;aqcic|argaz|tawacult
👨‍👨‍👧‍👧;tawacult: argaz, argaz, taqcict, taqcict;argaz|taqcict|tawacult
👩‍👩‍👦;tawacult: tameṭṭut, tameṭṭut, aqcic;aqcic|tameṭṭut|tawacult
