😀;خنده;صورت|صورت با لبخند|لبخند|نیش باز
😃;صورت خندان;باز|خنده|دهان|صورت|لبخند
😄;خندان;باز|چشم|خنده|دهان|صورت|صورتک با پوزخند و چشمان خندان|لب و چشم خندان|لبخند
😁;خندهٔ دندانی;تبسم|چشم|خنده|خنده دندونی|صورت|صورت شاد با چشمان خندان|لبخند|نیشخند
😆;صورت نیشخندزنان با چشم نیم‌باز;باز|بسته|چشم|چشم نیم‌بسته|خنده|دهان|شاد|صورت|لبخند|لبخندزنان|نیشخند|هاها|هرهر
😅;صورت خندان و عرق‌کرده;باز|خنده|خنده و عرق خوشحالی|دهان|شادی|صورت|عرق|لبخند
🤣;از خنده غش کردن;خنده|خنده‌دار|خندیدن|خوشحال|شاد|صورتک|قاه قاه|قهقهه|هاها|هرهر
😂;صورت با اشک شادی;احساس|اشک شادی|بامزه|خنده|خنده بلند|خوشحالی|روده‌بر|صورتک|قهقهه|کرکر خنده|لذت|هاها|هرهر
🙂;لبخند ملایم;صورت|لبخند
🙃;صورت وارونه;صورت|لبخند|معکوس|وارونه
🫠;چهره درحال ذوب شدن;آب شدن|احساسات|حل شدن|داغ|ذوب شدن|شرمنده|شکلک|کنایه|کنایه‌آمیز|گرما|مایع|ناپدید شدن|هاها
😉;چشمک;سکسی|شوخی|صورت|عشوه|لاس
😊;لبخند خجالتی;چشم|خجالت|سرخ شدن|صورت|لبخند
😇;هاله‌دار;صورت|فانتزی|فرشته|لبخند|معصوم|مقدس|ملیح|هاله
🥰;صورت خندان و عاشق;۳|دوستت دارم|ستایش|شما|شیفتگی|صورتک|عاشقی|عشق|قلب|قلب‌ها|لبخند|لبخندزنان
😍;چشم‌های عاشق;چشم|صورت|عاشق|عشق|قلب|لبخند
🤩;فوق‌العاده;جذاب|چشمان|خندان|خنده|ستاره|صورت|لبخند|هیجان زده|هیجان‌انگیز
😘;بوسه فرستادن;بوسه|بوسیدن|صورت|قلب
😗;بوسیدن;بوسه|صورت
☺️;لبخند;آرام|بسته|چشم|صورت
😚;بوسهٔ خجالتی;بسته|بوسه|بوسه خجالتی|بوسیدن|چشم|صورت
😙;بوسیدن با چشمان خندان;بوسه|بوسیدن|چشم|صورت|لبخند|لبخند و بوسه
🥲;چهرهٔ خندان با اشک;آسوده‌خاطر|اشک|اشک شوق|خرسند|خندان|درد|سربلند|شاد|قدردان|لبخند|مسرور|مفتخر
😋;صورت درحال لیسیدن لب;به‌به|خوشمزه|صورت|صورت با زبان آب افتاده|لبخند|لذیذ
😛;صورت با زبان بیرون‌آمده;زبان|زبان بیرون آمده|زبانک|زبونک|صورت
😜;صورت با چشمک و زبان بیرون آمده;جوک|چشم|چشمک زدن|زبان|زبانک انداختن و چشمک زدن|زبونک و چشمک|شوخی|صورت|صورتک
🤪;صورتک لوده;احمق|بزرگ|بی‌عقل|چشم|چشم ها|چشم های دیوانه|دیوانه|صورت دیوانه|کوچک
😝;زبونک با چشم بسته;آدم|بد|بدمزه|چشم|چشم بسته|زبان|زشت|صورت|فجیع
🤑;صورت پول‌دوست;پول|دهان|صورت
🤗;بغل کردن;آغوش|در آغوش گرفتن|صورت|لبخند
🤭;صورتک با دست روی دهان;آخ|اوه|ای وای|دست روی دهان|راز|سورپرایز|شوک|صورت با دست جلوی دهان|وا
🫢;چهره با چشمان باز و دست روی دهان;آه خدای من|احساسات|ترس|حیرت|خجالت|سکوت|شکلک|شگفتی|شوکه شدن|غافلگیری|مبهوت|ناباوری
🫣;چهره با نگاه دزدکی;احساسات|پنهان شدن|پنهان کردن|ترسیده|خجالت کشیدن|خجالتی|خیره شدن|دید زدن|زیرچشمی|شرمندگی|شرمنده|شکلک|شیفته|عواطف|نگاه دزدکی
🤫;هیس;بی‌صدا|ساکت|سکوت|صورت|هیس، ساکت، سکوت
🤔;درحال تفکر;تفکر|صورت|فکر کردن|متفکر
🫡;چهره سلام‌کنان;آفتابی|احترام|احساسات|افراد|اوکی|بله|بله خانم|بله قربان|سلام|سلام نظامی|شکلک|موفق باشید
🤐;دهان چفت;دهان|زیپ|صورت|قابل اعتماد|قفل
🤨;صورت با ابروی بالاداده;سوءظن|شک|شکاک|صورت با ابروی بالا|عدم اعتماد|عدم تایید
😐;خنثی;بی‌احساس|بی‌روح|بی‌طرف|بی‌مزه|جدی|صورت
😑;صورت بی‌حالت;بدون احساس|بدون حالت|بی‌بیان|بی‌حالت|صورت|گنگ
😶;صورت بدون لب;آرام|بی‌صدا|دهان|ساکت|صورت
🫥;چهره با خط‌چین;احساسات|افسرده|برایم مهم نیست|برون‌گرا|پنهان|حالا که چی|حالا هر چی|شکلک|ناپدید|نامرئی
😶‍🌫️;صورتک میان ابر;حواس‌پرت|سر در میان ابرها|صورتک در مه|صورتک میان ابرها
😏;پوزخند;تمسخر|صورت
😒;کسل;بی‌حوصله|صورت|کسل‌کننده
🙄;نگاه کلافه;اوه|چشم|چشم چرخوندن|چشم‌ها|سایه|صورت|قیافه|کلافه|نگاه عاقل اندر سفیه|هرچی
😬;دهن‌کجی;ادا و اصول|شکلک|صورت|منزجر
😮‍💨;صورتک در حال بازدم;آه|بازدم|بخار|خسته|سوت زدن|فوت کردن|نالیدن|نجوا کردن|نفس زدن
🤥;صورت دروغگو;پینوکیو|دروغ|دروغگو|دماغ دراز|دماغ‌دراز|صورت
🫨;چهره لرزان;ارتعاش|تعجب|دیوانه|زلزله|شگفت‌زده|شگفتی|شوک|صورت|گیج|لرزان|لرزش|متعجب|مرتعش|وای|وحشت
🙂‍↔️;تکان دادن افقی سر;نه، تکان سر
🙂‍↕️;تکان دادن عمودی سر;تکان سر، بله
😌;آسوده‌خاطر;آسوده خاطر|خیال راحت|صورت
😔;چهره غمگین;افسرده|اندیشناک|پژمرده|صورت|غمگین|محزون|ناامید|ناراحت
😪;خواب‌آلود;خواب|صورت
🤤;آب افتادن دهان;آب افتاد|آب افتادن|دهان|دهن
😴;خوابیده;تخت خواب|چرت|چهره|خروپف|خسته|خواب|خواب‌آلود|خوابیدن|شب|شب بخیر|شب خوش|صورت|صورتک|قیافه خواب‌آلود|هرچی|وقت خواب
🫩;چهره با چشمان پف‌آلود;بی‌رمق|چهره با چشمان پف‌کرده|خسته|خواب‌آلود
😷;صورت با ماسک پزشکی;بیمار|تب|دارو|دکتر|سرد|سرما|سرماخورده|صورت|ماسک|مریض
🤒;تب‌دار;آدم|بیمار|تب|دماسنج|صورت|مریض
🤕;سر باندپیچی‌شده;آسیب|با سر باندپیچی|باندپیچی|حادثه|درد|سر|صدمه|صورت
🤢;حالت تهوع;استفراغ|بالا آوردن|بهم خوردن حال|تهوع|حال بد|حال به‌هم خوردن|صورت سبز
🤮;درحال استفراغ;استفراغ|بالا آوردن|تهوع، بیماری|دچار تهوع|مریض|ناخوش
🤧;عطسه;خیر باشد|درحال عطسه|دماغ قزمز|صورت|صورت در حال عطسه|عافیت باشد
🥵;خیلی گرم;برافروخته|تب|تب و لرز|تب‌دار|حرارت|دارم میمیرم|داغ|زبان|سوزان|صورت|عرق|عرق‌کرده|قرمز|قرمزشده|کله|گرم|گرما|گرمازده|لرز
🥶;خیلی سرد;آبی|دندان|دندون لرز|زیر صفر|سرد|سرما|سرمازدگی|سرمازده|شکلک|صورت|صورتک|قندیل|کبودشده|لرز|لرزیدن|یخ|یخ‌زده
🥴;نشئه;از خود بیخود|چشمان بالا و پایین|چشمهای تا به تا|حیران|خل|خل و چل|خنگ|دهان لرزان|سرخوش|سرگشته|شنگول|گیج|لوچ|مبهوت|مست|مست و ملنگ|ملنگ|منگ|هپروت
😵;گیج;صورت
😵‍💫;صورتک با چشمان چرخشی;آی خدای من|سرگیجه|شکلک|گیج|مارپیچ|مشکل|هیپنوتیزم|وای|وه
🤯;سر منفجرشده;دود از سر بلند شدن|شوکه|شوکه‌شده|غیر ممکن|متعجب
🤠;کلاه کابوی;صورت|صورت کلاه به سر|صورت کلاه‌به‌سر|کابوی|کلاه|گاوچران
